"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Rufous-crowned Sparrow",5800,1269665.35476718,1280605.13673319,991346.267553585,1578177.56836659,905919.345898004,1697703.52919438,1269665.35476718,1280605.13673319,991346.267553585,1578177.56836659,905919.345898004,1697703.52919438,687142.89,693063.5,536516.6,854109.7,490283.55,918797.15,1270000,1280000,991000,1580000,906000,1700000,1270000,1280000,991000,1580000,906000,1700000,687000,693000,537000,854000,490000,919000,3,3,3,3,3,FALSE,FALSE
"Song Sparrow",5810,121824974.211597,122098426.754832,116870084.842319,126428115.055951,115035701.983723,127644851.144456,121824974.211597,122098426.754832,116870084.842319,126428115.055951,115035701.983723,127644851.144456,119753949.65,120022753.5,114883293.4,124278837.1,113080095.05,125474888.675,1.22e+08,1.22e+08,1.17e+08,1.26e+08,1.15e+08,1.28e+08,1.22e+08,1.22e+08,1.17e+08,1.26e+08,1.15e+08,1.28e+08,1.2e+08,1.2e+08,1.15e+08,1.24e+08,1.13e+08,1.25e+08,1,1,1,1,1,FALSE,FALSE
"Lincoln's Sparrow",5830,100103241.48,99660955,93207276,108265551.5,87990176.45,113921489.5,100103241.48,99660955,93207276,108265551.5,87990176.45,113921489.5,100103241.48,99660955,93207276,108265551.5,87990176.45,113921489.5,1e+08,99700000,93200000,1.08e+08,8.8e+07,1.14e+08,1e+08,99700000,93200000,1.08e+08,8.8e+07,1.14e+08,1e+08,99700000,93200000,1.08e+08,8.8e+07,1.14e+08,1,1,1,1,1,FALSE,FALSE
"Swamp Sparrow",5840,21383407.21,21489642,19329220.9,23526415.5,18820263.55,24051542.825,21383407.21,21489642,19329220.9,23526415.5,18820263.55,24051542.825,21383407.21,21489642,19329220.9,23526415.5,18820263.55,24051542.825,21400000,21500000,19300000,23500000,18800000,24100000,21400000,21500000,19300000,23500000,18800000,24100000,21400000,21500000,19300000,23500000,18800000,24100000,2,2,2,2,2,FALSE,FALSE
"Fox Sparrow",5850,29693154.45,29505909,24533013.5,35487021.8,21482412.825,37568704.8,29693154.45,29505909,24533013.5,35487021.8,21482412.825,37568704.8,29693154.45,29505909,24533013.5,35487021.8,21482412.825,37568704.8,29700000,29500000,24500000,35500000,21500000,37600000,29700000,29500000,24500000,35500000,21500000,37600000,29700000,29500000,24500000,35500000,21500000,37600000,2,2,2,2,2,FALSE,FALSE
"Olive Sparrow",5860,12927615.7142857,12699317.4603175,9396920.63492063,16950561.9047619,8327021.42857143,20034094.4444444,12927615.7142857,12699317.4603175,9396920.63492063,16950561.9047619,8327021.42857143,20034094.4444444,814439.79,800057,592006,1067885.4,524602.35,1262147.95,12900000,12700000,9400000,1.7e+07,8330000,2e+07,12900000,12700000,9400000,1.7e+07,8330000,2e+07,814000,8e+05,592000,1070000,525000,1260000,2,2,2,2,2,FALSE,FALSE
"Eastern Towhee",5870,26323857.62,26317945,25210403.7,27476482.9,24316060.75,28253464.95,26323857.62,26317945,25210403.7,27476482.9,24316060.75,28253464.95,26323857.62,26317945,25210403.7,27476482.9,24316060.75,28253464.95,26300000,26300000,25200000,27500000,24300000,28300000,26300000,26300000,25200000,27500000,24300000,28300000,26300000,26300000,25200000,27500000,24300000,28300000,2,2,2,2,2,FALSE,FALSE
"Spotted Towhee",5880,39833374.9232119,39844718.0781044,36374718.5168934,43822557.1522598,34985188.7889425,45332510.11957,39833374.9232119,39844718.0781044,36374718.5168934,43822557.1522598,34985188.7889425,45332510.11957,36312104.58,36322445,33159193.4,39948643.1,31892498.1,41325116.225,39800000,39800000,36400000,43800000,3.5e+07,45300000,39800000,39800000,36400000,43800000,3.5e+07,45300000,36300000,36300000,33200000,39900000,31900000,41300000,2,2,2,2,2,FALSE,FALSE
"Green-tailed Towhee",5900,4714077.56577626,4684942.75959028,4087512.95440852,5628444.66760394,3586715.75617594,5900204.81020285,4714077.56577626,4684942.75959028,4087512.95440852,5628444.66760394,3586715.75617594,5900204.81020285,4694278.44,4665266,4070345.4,5604805.2,3571651.55,5875423.95,4710000,4680000,4090000,5630000,3590000,5900000,4710000,4680000,4090000,5630000,3590000,5900000,4690000,4670000,4070000,5600000,3570000,5880000,3,3,2,3,2,FALSE,FALSE
"Canyon Towhee",5910,6250390.43648848,6168442.86414909,5021161.10838646,7436891.61353605,4722958.06768024,7939840.91466405,6250390.43648848,6168442.86414909,5021161.10838646,7436891.61353605,4722958.06768024,7939840.91466405,2548909.22,2515491,2047629.5,3032764.4,1926022.3,3237867.125,6250000,6170000,5020000,7440000,4720000,7940000,6250000,6170000,5020000,7440000,4720000,7940000,2550000,2520000,2050000,3030000,1930000,3240000,2,2,2,3,2,FALSE,FALSE
"California Towhee",5911,8306586.722195,8274566.38902499,6560588.92699657,9826959.0070227,6001117.91605422,11351428.7930753,8306586.722195,8274566.38902499,6560588.92699657,9826959.0070227,6001117.91605422,11351428.7930753,5086123.05,5066517,4017048.6,6017047,3674484.5,6950479.85,8310000,8270000,6560000,9830000,6e+06,11400000,8310000,8270000,6560000,9830000,6e+06,11400000,5090000,5070000,4020000,6020000,3670000,6950000,2,2,2,2,2,FALSE,FALSE
"Abert's Towhee",5920,569745.159307448,552955.127548407,416407.335314005,723053.478127241,334541.158692757,823999.026739063,569745.159307448,552955.127548407,416407.335314005,723053.478127241,334541.158692757,823999.026739063,556128.25,539739.5,406455.2,705772.5,326545.625,804305.449999999,570000,553000,416000,723000,335000,824000,570000,553000,416000,723000,335000,824000,556000,540000,406000,706000,327000,804000,3,4,3,4,3,FALSE,FALSE
"Northern Cardinal",5930,151916746.921989,151485834.083023,144406051.66431,160349846.677805,140554746.144454,165522365.923403,151916746.921989,151485834.083023,144406051.66431,160349846.677805,140554746.144454,165522365.923403,118206420.78,117871127.5,112362348.8,124768215.7,109365647.975,128792952.925,1.52e+08,1.51e+08,1.44e+08,1.6e+08,1.41e+08,1.66e+08,1.52e+08,1.51e+08,1.44e+08,1.6e+08,1.41e+08,1.66e+08,1.18e+08,1.18e+08,1.12e+08,1.25e+08,1.09e+08,1.29e+08,1,1,1,1,1,FALSE,FALSE
"Pyrrhuloxia",5940,4639671.77266576,4520810.55480379,3403518.26792963,5930231.39377537,2955989.37753721,6837322.73342354,4639671.77266576,4520810.55480379,3403518.26792963,5930231.39377537,2955989.37753721,6837322.73342354,1714358.72,1670439.5,1257600,2191220.5,1092238.075,2526390.75,4640000,4520000,3400000,5930000,2960000,6840000,4640000,4520000,3400000,5930000,2960000,6840000,1710000,1670000,1260000,2190000,1090000,2530000,3,3,2,3,2,FALSE,FALSE
"Rose-breasted Grosbeak",5950,4245364.81,4239100.5,3869850.1,4677502.5,3663204.125,4936966.2,4245364.81,4239100.5,3869850.1,4677502.5,3663204.125,4936966.2,4245364.81,4239100.5,3869850.1,4677502.5,3663204.125,4936966.2,4250000,4240000,3870000,4680000,3660000,4940000,4250000,4240000,3870000,4680000,3660000,4940000,4250000,4240000,3870000,4680000,3660000,4940000,3,3,3,3,3,FALSE,FALSE
"Black-headed Grosbeak",5960,14301988.9307702,14327640.4070863,13295224.4000503,15282856.5146375,12844139.5275788,15738439.1883402,14301988.9307702,14327640.4070863,13295224.4000503,15282856.5146375,12844139.5275788,15738439.1883402,11382952.99,11403369,10581669.1,12163625.5,10222650.65,12526223.75,14300000,14300000,13300000,15300000,12800000,15700000,14300000,14300000,13300000,15300000,12800000,15700000,11400000,11400000,10600000,12200000,10200000,12500000,2,2,2,2,2,FALSE,FALSE
"Blue Grosbeak",5970,29750159.9110032,29623369.7411003,28523386.4617044,31041174.2179072,27888823.8605717,31625563.9832794,29750159.9110032,29623369.7411003,28523386.4617044,31041174.2179072,27888823.8605717,31625563.9832794,22062718.59,21968691,21152943.4,23020134.8,20682351.775,23453518.25,29800000,29600000,28500000,3.1e+07,27900000,31600000,29800000,29600000,28500000,3.1e+07,27900000,31600000,22100000,2.2e+07,21200000,2.3e+07,20700000,23500000,2,2,2,2,2,FALSE,FALSE
"Indigo Bunting",5980,73132048.1611384,73291577.312356,70510513.0774627,75592412.5663894,69387532.1675518,77393417.7773324,73132048.1611384,73291577.312356,70510513.0774627,75592412.5663894,69387532.1675518,77393417.7773324,72978470.86,73137665,70362441,75433668.5,69241818.35,77230891.6,73100000,73300000,70500000,75600000,69400000,77400000,73100000,73300000,70500000,75600000,69400000,77400000,7.3e+07,73100000,70400000,75400000,69200000,77200000,1,1,1,1,1,FALSE,FALSE
"Lazuli Bunting",5990,7418076.85101239,7356244.58547396,6821650.75047849,8138371.81424398,6367989.37241866,8660757.05147577,7418076.85101239,7356244.58547396,6821650.75047849,8138371.81424398,6367989.37241866,8660757.05147577,7363924.89,7302544,6771852.7,8078961.7,6321503.05,8597533.525,7420000,7360000,6820000,8140000,6370000,8660000,7420000,7360000,6820000,8140000,6370000,8660000,7360000,7300000,6770000,8080000,6320000,8600000,2,2,2,2,2,FALSE,FALSE
"Varied Bunting",6000,1013239.15737299,974603.469640644,620897.149938042,1522744.73358117,383328.686493185,1675086.12143742,1013239.15737299,974603.469640644,620897.149938042,1522744.73358117,383328.686493185,1675086.12143742,81768.4,78650.5,50106.4,122885.5,30934.625,135179.45,1010000,975000,621000,1520000,383000,1680000,1010000,975000,621000,1520000,383000,1680000,81800,78700,50100,123000,30900,135000,3,3,3,4,3,FALSE,FALSE
"Painted Bunting",6010,16662480.9915296,16757369.2077728,15155507.2247135,18212436.8460389,13999977.1425012,19121438.9636273,16662480.9915296,16757369.2077728,15155507.2247135,18212436.8460389,13999977.1425012,19121438.9636273,13376639.74,13452816,12166841.2,14620944.3,11239181.65,15350691.2,16700000,16800000,15200000,18200000,1.4e+07,19100000,16700000,16800000,15200000,18200000,1.4e+07,19100000,13400000,13500000,12200000,14600000,11200000,15400000,2,2,2,2,2,FALSE,FALSE
"Dickcissel",6040,30705963.88,30713520,28198777.5,33437753.9,26520511.5,34686128.5,30705963.88,30713520,28198777.5,33437753.9,26520511.5,34686128.5,30705963.88,30713520,28198777.5,33437753.9,26520511.5,34686128.5,30700000,30700000,28200000,33400000,26500000,34700000,30700000,30700000,28200000,33400000,26500000,34700000,30700000,30700000,28200000,33400000,26500000,34700000,2,2,2,2,2,FALSE,FALSE
"Lark Bunting",6050,10756603.98,10755413,9365797.8,12289201,8525774.575,13229561.775,10756603.98,10755413,9365797.8,12289201,8525774.575,13229561.775,10756603.98,10755413,9365797.8,12289201,8525774.575,13229561.775,10800000,10800000,9370000,12300000,8530000,13200000,10800000,10800000,9370000,12300000,8530000,13200000,10800000,10800000,9370000,12300000,8530000,13200000,2,2,2,2,2,FALSE,FALSE
"Western Tanager",6070,14907261.993988,14999011.5230461,13560401.002004,16250140.2805611,13284278.4068136,16927134.6192385,14907261.993988,14999011.5230461,13560401.002004,16250140.2805611,13284278.4068136,16927134.6192385,14877447.47,14969013.5,13533280.2,16217640,13257709.85,16893280.35,14900000,1.5e+07,13600000,16300000,13300000,16900000,14900000,1.5e+07,13600000,16300000,13300000,16900000,14900000,1.5e+07,13500000,16200000,13300000,16900000,2,2,2,2,2,FALSE,FALSE
"Scarlet Tanager",6080,2301216.06,2292026.5,2146000.3,2479370.1,2058447.95,2564810.375,2301216.06,2292026.5,2146000.3,2479370.1,2058447.95,2564810.375,2301216.06,2292026.5,2146000.3,2479370.1,2058447.95,2564810.375,2300000,2290000,2150000,2480000,2060000,2560000,2300000,2290000,2150000,2480000,2060000,2560000,2300000,2290000,2150000,2480000,2060000,2560000,3,3,3,3,3,FALSE,FALSE
"Hepatic Tanager",6090,7687331.43939394,7568579.54545455,5364030.3030303,9829759.46969697,5024552.55681818,10896126.8939394,7687331.43939394,7568579.54545455,5364030.3030303,9829759.46969697,5024552.55681818,10896126.8939394,405891.1,399621,283220.8,519011.3,265296.375,575315.5,7690000,7570000,5360000,9830000,5020000,10900000,7690000,7570000,5360000,9830000,5020000,10900000,406000,4e+05,283000,519000,265000,575000,2,2,2,2,2,FALSE,FALSE
"Summer Tanager",6100,14478104.3744008,14427641.4189837,13678036.6730585,15295206.8552253,13282412.8415628,15590754.8537871,14478104.3744008,14427641.4189837,13678036.6730585,15295206.8552253,13282412.8415628,15590754.8537871,12080530.29,12038424,11412953.8,12762320.6,11082845.275,13008925.85,14500000,14400000,13700000,15300000,13300000,15600000,14500000,14400000,13700000,15300000,13300000,15600000,12100000,1.2e+07,11400000,12800000,11100000,1.3e+07,2,2,2,2,2,FALSE,FALSE
"Purple Martin",6110,8185517.8343949,8179205.98078376,7462343.19334989,8908012.7388535,7337869.91255533,9522534.86991255,8185517.8343949,8179205.98078376,7462343.19334989,8908012.7388535,7337869.91255533,9522534.86991255,7582245.17,7576398.5,6912368.5,8251492.2,6797068.9,8820724.05,8190000,8180000,7460000,8910000,7340000,9520000,8190000,8180000,7460000,8910000,7340000,9520000,7580000,7580000,6910000,8250000,6800000,8820000,2,2,2,2,2,FALSE,FALSE
"Cliff Swallow",6120,80903075.2970951,81237960.4973592,73896942.2315141,87100529.9295775,70324502.0356514,90085030.9474032,80903075.2970951,81237960.4973592,73896942.2315141,87100529.9295775,70324502.0356514,90085030.9474032,73524714.83,73829058.5,67157541.1,79156961.6,63910907.45,81869276.125,80900000,81200000,73900000,87100000,70300000,90100000,80900000,81200000,73900000,87100000,70300000,90100000,73500000,73800000,67200000,79200000,63900000,81900000,1,1,1,1,1,FALSE,FALSE
"Cave Swallow",6121,6596776.6065964,6320460.72764366,4556963.61781707,8887247.53485209,3964387.8782727,9896150.20401224,6596776.6065964,6320460.72764366,4556963.61781707,8887247.53485209,3964387.8782727,9896150.20401224,1940112,1858847.5,1340203,2613739.5,1165926.475,2910457.775,6600000,6320000,4560000,8890000,3960000,9900000,6600000,6320000,4560000,8890000,3960000,9900000,1940000,1860000,1340000,2610000,1170000,2910000,2,3,2,3,2,FALSE,FALSE
"Barn Swallow",6130,152266255.948089,151472447.728911,146246928.262437,159904361.932228,143244491.528479,162482518.385004,45688111.8442401,45449926.446728,43881987.99351,47979956.7333694,42981094.5916712,48753543.1043807,42238659.4,42018457,40568897.9,44357470,39736021.95,45072650.6,1.52e+08,1.51e+08,1.46e+08,1.6e+08,1.43e+08,1.62e+08,45700000,45400000,43900000,4.8e+07,4.3e+07,48800000,42200000,4.2e+07,40600000,44400000,39700000,45100000,1,1,1,1,1,FALSE,FALSE
"Tree Swallow",6140,16592996.4,16572857,15471918.3,17690442.4,15103927.95,18405853.25,16592996.4,16572857,15471918.3,17690442.4,15103927.95,18405853.25,16592996.4,16572857,15471918.3,17690442.4,15103927.95,18405853.25,16600000,16600000,15500000,17700000,15100000,18400000,16600000,16600000,15500000,17700000,15100000,18400000,16600000,16600000,15500000,17700000,15100000,18400000,2,2,2,2,2,FALSE,FALSE
"Violet-green Swallow",6150,7076492.03410475,7078914.73812424,6189138.00243605,7781969.42752741,5840654.14129111,8633592.14372716,7076492.03410475,7078914.73812424,6189138.00243605,7781969.42752741,5840654.14129111,8633592.14372716,5809799.96,5811789,5081282.3,6388996.9,4795177.05,7088179.15,7080000,7080000,6190000,7780000,5840000,8630000,7080000,7080000,6190000,7780000,5840000,8630000,5810000,5810000,5080000,6390000,4800000,7090000,2,2,2,2,2,FALSE,FALSE
"Bank Swallow",6160,21323035.0401606,21261020.7496653,18167628.8487282,24336437.08166,17090116.4658635,26349445.6157965,6396910.51204819,6378306.2248996,5450288.65461847,7300931.12449799,5127034.93975904,7904833.68473896,6371322.87,6352793,5428487.5,7271727.4,5106526.8,7873214.35,21300000,21300000,18200000,24300000,17100000,26300000,6400000,6380000,5450000,7300000,5130000,7900000,6370000,6350000,5430000,7270000,5110000,7870000,2,2,2,2,2,FALSE,FALSE
"Northern Rough-winged Swallow",6170,17690646.0771128,17459316.2967944,15456170.1412239,20195068.0340731,14978550.9134723,21578800.9975342,17690646.0771128,17459316.2967944,15456170.1412239,20195068.0340731,14978550.9134723,21578800.9975342,15783594.43,15577202,13789995,18018039.7,13363863.125,19252606.25,17700000,17500000,15500000,20200000,1.5e+07,21600000,17700000,17500000,15500000,20200000,1.5e+07,21600000,15800000,15600000,13800000,1.8e+07,13400000,19300000,2,2,2,2,2,FALSE,FALSE
"Bohemian Waxwing",6180,3514650.2,3485502,2614674.8,4496634.6,2403191.95,4938414.95,1757325.1,1742751,1307337.4,2248317.3,1201595.975,2469207.475,1757325.1,1742751,1307337.4,2248317.3,1201595.975,2469207.475,3510000,3490000,2610000,4500000,2400000,4940000,1760000,1740000,1310000,2250000,1200000,2470000,1760000,1740000,1310000,2250000,1200000,2470000,3,3,3,3,3,FALSE,FALSE
"Cedar Waxwing",6190,68182838.95,68300766,63730290.3,72834932.3,62531510.25,76520235.35,68182838.95,68300766,63730290.3,72834932.3,62531510.25,76520235.35,68182838.95,68300766,63730290.3,72834932.3,62531510.25,76520235.35,68200000,68300000,63700000,72800000,62500000,76500000,68200000,68300000,63700000,72800000,62500000,76500000,68200000,68300000,63700000,72800000,62500000,76500000,1,1,1,1,1,FALSE,FALSE
"Phainopepla",6200,4581087.75067751,4501116.53116531,3713468.83468835,5634618.9701897,3209862.66937669,6037232.38482385,4581087.75067751,4501116.53116531,3713468.83468835,5634618.9701897,3209862.66937669,6037232.38482385,1690421.38,1660912,1370270,2079174.4,1184439.325,2227738.75,4580000,4500000,3710000,5630000,3210000,6040000,4580000,4500000,3710000,5630000,3210000,6040000,1690000,1660000,1370000,2080000,1180000,2230000,3,3,2,3,2,FALSE,FALSE
"Northern Shrike",6210,290070.9,242285,105853.5,489006.5,82332.75,625495.125,58014.18,48457,21170.7,97801.3,16466.55,125099.025,58014.18,48457,21170.7,97801.3,16466.55,125099.025,290000,242000,106000,489000,82300,625000,58000,48500,21200,97800,16500,125000,58000,48500,21200,97800,16500,125000,4,4,4,4,3,FALSE,FALSE
"Loggerhead Shrike",6220,5081643.83723681,5057133.9011119,4763891.64892359,5474321.7411876,4677081.67731251,5689765.61391057,5081643.83723681,5057133.9011119,4763891.64892359,5474321.7411876,4677081.67731251,5689765.61391057,4296021.7,4275301,4027394,4627991.6,3954004.85,4810127.85,5080000,5060000,4760000,5470000,4680000,5690000,5080000,5060000,4760000,5470000,4680000,5690000,4300000,4280000,4030000,4630000,3950000,4810000,2,3,2,3,2,FALSE,FALSE
"Black-whiskered Vireo",6230,1255001.47540984,1176114.75409836,517191.803278689,2106926.2295082,263259.836065574,2475601.2295082,1255001.47540984,1176114.75409836,517191.803278689,2106926.2295082,263259.836065574,2475601.2295082,76555.09,71743,31548.7,128522.5,16058.85,151011.675,1260000,1180000,517000,2110000,263000,2480000,1260000,1180000,517000,2110000,263000,2480000,76600,71700,31500,129000,16100,151000,3,3,3,4,3,FALSE,FALSE
"Red-eyed Vireo",6240,191951984.219715,191687185.737309,182563602.605426,203010724.684394,175295148.099651,207315399.241203,191951984.219715,191687185.737309,182563602.605426,203010724.684394,175295148.099651,207315399.241203,142927447.45,142730278.5,135936858.5,151161785.6,130524767.275,154367046.275,1.92e+08,1.92e+08,1.83e+08,2.03e+08,1.75e+08,2.07e+08,1.92e+08,1.92e+08,1.83e+08,2.03e+08,1.75e+08,2.07e+08,1.43e+08,1.43e+08,1.36e+08,1.51e+08,1.31e+08,1.54e+08,1,1,1,1,1,FALSE,FALSE
"Philadelphia Vireo",6260,4473468.43,4408841,3928661.7,5175151.2,3675240.675,5349620.375,4473468.43,4408841,3928661.7,5175151.2,3675240.675,5349620.375,4473468.43,4408841,3928661.7,5175151.2,3675240.675,5349620.375,4470000,4410000,3930000,5180000,3680000,5350000,4470000,4410000,3930000,5180000,3680000,5350000,4470000,4410000,3930000,5180000,3680000,5350000,3,3,2,3,2,FALSE,FALSE
"Warbling Vireo",6270,52511219.4530444,52879857.0691435,49059809.3911249,55858566.25387,48226019.6594427,57664490.8668731,52511219.4530444,52879857.0691435,49059809.3911249,55858566.25387,48226019.6594427,57664490.8668731,50883371.65,51240581.5,47538955.3,54126950.7,46731013.05,55876891.65,52500000,52900000,49100000,55900000,48200000,57700000,52500000,52900000,49100000,55900000,48200000,57700000,50900000,51200000,47500000,54100000,46700000,55900000,1,2,1,2,1,FALSE,FALSE
"Yellow-throated Vireo",6280,5431427.37,5439299,5079095.3,5770234.5,4997487.3,5948919.85,5431427.37,5439299,5079095.3,5770234.5,4997487.3,5948919.85,5431427.37,5439299,5079095.3,5770234.5,4997487.3,5948919.85,5430000,5440000,5080000,5770000,5e+06,5950000,5430000,5440000,5080000,5770000,5e+06,5950000,5430000,5440000,5080000,5770000,5e+06,5950000,2,2,2,3,2,FALSE,FALSE
"Blue-headed Vireo",6290,11226269.62,11202479,10248098.2,12225540.7,9941439.95,13035035.475,11226269.62,11202479,10248098.2,12225540.7,9941439.95,13035035.475,11226269.62,11202479,10248098.2,12225540.7,9941439.95,13035035.475,11200000,11200000,10200000,12200000,9940000,1.3e+07,11200000,11200000,10200000,12200000,9940000,1.3e+07,11200000,11200000,10200000,12200000,9940000,1.3e+07,2,2,2,2,2,FALSE,FALSE
"Cassin's Vireo",6291,4458352.92994271,4420787.01377023,3925159.51351895,5065286.05890039,3783003.41742889,5392979.79696452,4458352.92994271,4420787.01377023,3925159.51351895,5065286.05890039,3783003.41742889,5392979.79696452,4435615.33,4398241,3905141.2,5039453.1,3763710.1,5365475.6,4460000,4420000,3930000,5070000,3780000,5390000,4460000,4420000,3930000,5070000,3780000,5390000,4440000,4400000,3910000,5040000,3760000,5370000,3,3,2,3,2,FALSE,FALSE
"Plumbeous Vireo",6292,4471249.31977463,4502837.70784664,3652598.18606569,5227705.09825478,3382587.15816958,5627524.2888553,4471249.31977463,4502837.70784664,3652598.18606569,5227705.09825478,3382587.15816958,5627524.2888553,3253728.13,3276715,2657995.7,3804201,2461508.675,4095149.425,4470000,4500000,3650000,5230000,3380000,5630000,4470000,4500000,3650000,5230000,3380000,5630000,3250000,3280000,2660000,3800000,2460000,4100000,3,3,2,3,2,FALSE,FALSE
"Black-capped Vireo",6300,268856.219751472,261742.315238718,144084.499672989,395443.688685415,93059.8430346632,501367.952910399,268856.219751472,261742.315238718,144084.499672989,395443.688685415,93059.8430346632,501367.952910399,205540.58,200102,110152.6,302316.7,71144.25,383295.8,269000,262000,144000,395000,93100,501000,269000,262000,144000,395000,93100,501000,206000,2e+05,110000,302000,71100,383000,4,4,4,4,3,FALSE,FALSE
"White-eyed Vireo",6310,26966253.2,26915980.5405405,25468473.0810811,28572343.2432432,24544774.5405405,29439457.8648649,26966253.2,26915980.5405405,25468473.0810811,28572343.2432432,24544774.5405405,29439457.8648649,24943784.21,24897282,23558337.6,26429417.5,22703916.45,27231498.525,2.7e+07,26900000,25500000,28600000,24500000,29400000,2.7e+07,26900000,25500000,28600000,24500000,29400000,24900000,24900000,23600000,26400000,22700000,27200000,2,2,2,2,2,FALSE,FALSE
"Hutton's Vireo",6320,2198280.45977012,2185215.51724138,1932071.0553814,2528179.72831766,1712557.8631139,2679931.29571578,2198280.45977012,2185215.51724138,1932071.0553814,2528179.72831766,1712557.8631139,2679931.29571578,841501.76,836500.5,739596.8,967787.2,655567.15,1025877.7,2200000,2190000,1930000,2530000,1710000,2680000,2200000,2190000,1930000,2530000,1710000,2680000,842000,837000,740000,968000,656000,1030000,3,3,3,3,3,FALSE,FALSE
"Bell's Vireo",6330,6265916.27092254,6261132.08771247,5328352.14739847,7220441.54664591,4905150.02595043,7643307.25314649,6265916.27092254,6261132.08771247,5328352.14739847,7220441.54664591,4905150.02595043,7643307.25314649,4829141.67,4825454.5,4106561,5564794.3,3780399.125,5890696.9,6270000,6260000,5330000,7220000,4910000,7640000,6270000,6260000,5330000,7220000,4910000,7640000,4830000,4830000,4110000,5560000,3780000,5890000,2,2,2,3,2,FALSE,FALSE
"Gray Vireo",6340,751190.14958787,717046.402767884,547016.281672942,997702.452426987,480429.225602931,1127788.00753027,751190.14958787,717046.402767884,547016.281672942,997702.452426987,480429.225602931,1127788.00753027,738194.56,704641.5,537552.9,980442.2,472117.8,1108277.275,751000,717000,547000,998000,480000,1130000,751000,717000,547000,998000,480000,1130000,738000,705000,538000,980000,472000,1110000,3,3,3,4,3,FALSE,FALSE
"Black-and-white Warbler",6360,18481952.68,18389113,17129165.3,19903143.1,16672820.725,20513144.9,18481952.68,18389113,17129165.3,19903143.1,16672820.725,20513144.9,18481952.68,18389113,17129165.3,19903143.1,16672820.725,20513144.9,18500000,18400000,17100000,19900000,16700000,20500000,18500000,18400000,17100000,19900000,16700000,20500000,18500000,18400000,17100000,19900000,16700000,20500000,2,2,2,2,2,FALSE,FALSE
"Prothonotary Warbler",6370,1883293.59,1856242,1595624,2244012.2,1525469.4,2404717.2,1883293.59,1856242,1595624,2244012.2,1525469.4,2404717.2,1883293.59,1856242,1595624,2244012.2,1525469.4,2404717.2,1880000,1860000,1600000,2240000,1530000,2400000,1880000,1860000,1600000,2240000,1530000,2400000,1880000,1860000,1600000,2240000,1530000,2400000,3,3,3,3,3,FALSE,FALSE
"Swainson's Warbler",6380,200425.22,197170.5,170673.9,230585.5,157654.475,244451.175,200425.22,197170.5,170673.9,230585.5,157654.475,244451.175,200425.22,197170.5,170673.9,230585.5,157654.475,244451.175,2e+05,197000,171000,231000,158000,244000,2e+05,197000,171000,231000,158000,244000,2e+05,197000,171000,231000,158000,244000,4,4,4,4,4,FALSE,FALSE
"Worm-eating Warbler",6390,772794.86,769327,690474.9,865020.4,656423.45,897707.775,772794.86,769327,690474.9,865020.4,656423.45,897707.775,772794.86,769327,690474.9,865020.4,656423.45,897707.775,773000,769000,690000,865000,656000,898000,773000,769000,690000,865000,656000,898000,773000,769000,690000,865000,656000,898000,3,3,3,3,3,FALSE,FALSE
"Blue-winged Warbler",6410,564460.94,559772.5,491415.9,630290.6,467658.4,676973.125,564460.94,559772.5,491415.9,630290.6,467658.4,676973.125,564460.94,559772.5,491415.9,630290.6,467658.4,676973.125,564000,560000,491000,630000,468000,677000,564000,560000,491000,630000,468000,677000,564000,560000,491000,630000,468000,677000,3,4,3,4,3,FALSE,FALSE
"Golden-winged Warbler",6420,429010.5,429613.5,339443.2,524145.9,288964.325,547992.05,429010.5,429613.5,339443.2,524145.9,288964.325,547992.05,429010.5,429613.5,339443.2,524145.9,288964.325,547992.05,429000,430000,339000,524000,289000,548000,429000,430000,339000,524000,289000,548000,429000,430000,339000,524000,289000,548000,4,4,3,4,3,FALSE,FALSE
