"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Swainson's Thrush","4-7","4-6",1,7,"AB",6,"AB"
"Common Redpoll","4-7","4-6",2,7,"AB",6,"AB"
"Spruce Grouse","4-8","4-6",1,8,"AB",6,"AB"
"House Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"American Kestrel","4-8","4-6",1,8,"AB",6,"AB"
"Hairy Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Fox Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Evening Grosbeak","4-7","4-6",0.22,7,"AB",6,"AB"
"Le Conte's Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Red-winged Blackbird","4-8","4-6",1,8,"AB",6,"AB"
"American Crow","4-7","4-6",0.93,7,"AB",6,"AB"
"Nelson's Sparrow","4-8","4-6",0.68,8,"AB",6,"AB"
"Alder Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"American Three-toed Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Nelson's Sparrow","4-7","4-6",0.16,7,"AB",6,"AB"
"White-throated Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Savannah Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Common Yellowthroat","4-8","4-6",0.43,8,"AB",6,"AB"
"Cedar Waxwing","4-7","4-6",1,7,"AB",6,"AB"
"White-winged Crossbill","4-8","4-6",1,8,"AB",6,"AB"
"European Starling","4-7","4-6",1,7,"AB",6,"AB"
"Northern Hawk Owl","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Kingbird","4-7","4-6",1,7,"AB",6,"AB"
"Ruby-crowned Kinglet","4-8","4-6",1,8,"AB",6,"AB"
"Osprey","4-8","4-6",1,8,"AB",6,"AB"
"Spruce Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Bald Eagle","4-7","4-6",1,7,"AB",6,"AB"
"Gray Jay","4-8","4-6",1.09,8,"AB",6,"AB"
"Wilson's Warbler","4-7","4-6",1.33,7,"AB",6,"AB"
"Common Yellowthroat","4-7","4-6",0.01,7,"AB",6,"AB"
"Yellow Warbler","4-8","4-6",0.99,8,"AB",6,"AB"
"Ovenbird","4-8","4-6",0.27,8,"AB",6,"AB"
"American Tree Sparrow","4-8","4-6",1.94,8,"AB",6,"AB"
"Red-winged Blackbird","4-7","4-6",1,7,"AB",6,"AB"
"Northern Flicker","4-8","4-6",1,8,"AB",6,"AB"
"Bay-breasted Warbler","4-8","4-6",2,8,"AB",6,"AB"
"Ruffed Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Golden Eagle","4-8","4-6",1,8,"AB",6,"AB"
"Blackpoll Warbler","4-8","4-6",1.04,8,"AB",6,"AB"
"Red-tailed Hawk","4-8","4-6",1,8,"AB",6,"AB"
"European Starling","4-8","4-6",1,8,"AB",6,"AB"
"Yellow-rumped Warbler","4-7","4-6",1.04,7,"AB",6,"AB"
"Boreal Owl","4-8","4-6",1.04,8,"AB",6,"AB"
"Philadelphia Vireo","4-8","4-6",0.99,8,"AB",6,"AB"
"Song Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Northern Hawk Owl","4-7","4-6",1,7,"AB",6,"AB"
"White-throated Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Golden-crowned Kinglet","4-8","4-6",1.25,8,"AB",6,"AB"
"Le Conte's Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"American Robin","4-7","4-6",1,7,"AB",6,"AB"
"White-crowned Sparrow","4-7","4-6",1.49,7,"AB",6,"AB"
"Black-backed Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Brown-headed Cowbird","4-7","4-6",0.05,7,"AB",6,"AB"
"Olive-sided Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"Pine Siskin","4-8","4-6",1,8,"AB",6,"AB"
"Chipping Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Swainson's Thrush","4-8","4-6",0.99,8,"AB",6,"AB"
"Clay-colored Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Osprey","4-7","4-6",1,7,"AB",6,"AB"
"American Kestrel","4-7","4-6",1,7,"AB",6,"AB"
"American Redstart","4-7","4-6",0.04,7,"AB",6,"AB"
"Golden Eagle","4-7","4-6",1,7,"AB",6,"AB"
"Common Nighthawk","4-7","4-6",0.68,7,"AB",6,"AB"
"Downy Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Merlin","4-7","4-6",1,7,"AB",6,"AB"
"Orange-crowned Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Purple Finch","4-8","4-6",0.29,8,"AB",6,"AB"
"Tennessee Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Vesper Sparrow","4-7","4-6",0.68,7,"AB",6,"AB"
"Hermit Thrush","4-8","4-6",1,8,"AB",6,"AB"
"Common Grackle","4-8","4-6",1,8,"AB",6,"AB"
"Northern Flicker","4-7","4-6",1,7,"AB",6,"AB"
"Hermit Thrush","4-7","4-6",1,7,"AB",6,"AB"
"Bald Eagle","4-8","4-6",1,8,"AB",6,"AB"
"Philadelphia Vireo","4-7","4-6",0.45,7,"AB",6,"AB"
"Merlin","4-8","4-6",1,8,"AB",6,"AB"
"Yellow-headed Blackbird","4-8","4-6",0.39,8,"AB",6,"AB"
"Yellow-headed Blackbird","4-7","4-6",0.08,7,"AB",6,"AB"
"Rusty Blackbird","4-7","4-6",1,7,"AB",6,"AB"
"Dark-eyed Junco","4-8","4-6",1,8,"AB",6,"AB"
"Mourning Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Sharp-tailed Grouse","4-8","4-6",1,8,"AB",6,"AB"
"Belted Kingfisher","4-8","4-6",1,8,"AB",6,"AB"
"Palm Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Cape May Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Northern Waterthrush","4-8","4-6",1.09,8,"AB",6,"AB"
"American Redstart","4-8","4-6",0.07,8,"AB",6,"AB"
"Red-eyed Vireo","4-7","4-6",1,7,"AB",6,"AB"
"Northern Harrier","4-8","4-6",1,8,"AB",6,"AB"
"Horned Lark","4-7","4-6",2,7,"AB",6,"AB"
"Ruby-crowned Kinglet","4-7","4-6",1,7,"AB",6,"AB"
"Gray Jay","4-7","4-6",1.09,7,"AB",6,"AB"
"Bank Swallow","4-8","4-6",1.09,8,"AB",6,"AB"
"Sharp-tailed Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Chipping Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Long-eared Owl","4-7","4-6",1,7,"AB",6,"AB"
"American Crow","4-8","4-6",1,8,"AB",6,"AB"
"Black-backed Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Golden-crowned Kinglet","4-7","4-6",1.02,7,"AB",6,"AB"
"Canada Warbler","4-7","4-6",0.01,7,"AB",6,"AB"
"Cliff Swallow","4-8","4-6",0.39,8,"AB",6,"AB"
"Rusty Blackbird","4-8","4-6",1,8,"AB",6,"AB"
"Blackpoll Warbler","4-7","4-6",1.04,7,"AB",6,"AB"
"Red-breasted Nuthatch","4-8","4-6",1,8,"AB",6,"AB"
"Palm Warbler","4-8","4-6",0.99,8,"AB",6,"AB"
"Great Horned Owl","4-7","4-6",1,7,"AB",6,"AB"
"Pine Grosbeak","4-8","4-6",2,8,"AB",6,"AB"
"House Sparrow","4-7","4-6",0.96,7,"AB",6,"AB"
"Common Grackle","4-7","4-6",1,7,"AB",6,"AB"
"Barn Swallow","4-8","4-6",0.23,8,"AB",6,"AB"
"Black-throated Green Warbler","4-8","4-6",0.98,8,"AB",6,"AB"
"Vesper Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Horned Lark","4-8","4-6",0.68,8,"AB",6,"AB"
"Warbling Vireo","4-7","4-6",0.52,7,"AB",6,"AB"
"Pine Siskin","4-7","4-6",1,7,"AB",6,"AB"
"Tennessee Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Savannah Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Phoebe","4-8","4-6",1,8,"AB",6,"AB"
"Pileated Woodpecker","4-8","4-6",0.01,8,"AB",6,"AB"
"American Tree Sparrow","4-7","4-6",2,7,"AB",6,"AB"
"Northern Shrike","4-7","4-6",2,7,"AB",6,"AB"
"Northern Harrier","4-7","4-6",1,7,"AB",6,"AB"
"Magnolia Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Bohemian Waxwing","4-7","4-6",1,7,"AB",6,"AB"
"Swamp Sparrow","4-8","4-6",1.04,8,"AB",6,"AB"
"Great Gray Owl","4-8","4-6",1.14,8,"AB",6,"AB"
"White-winged Crossbill","4-7","4-6",1,7,"AB",6,"AB"
"Tree Swallow","4-7","4-6",1,7,"AB",6,"AB"
"Cape May Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Ruffed Grouse","4-8","4-6",1,8,"AB",6,"AB"
"Black-and-white Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Mourning Warbler","4-7","4-6",0.87,7,"AB",6,"AB"
"Sharp-shinned Hawk","4-7","4-6",1,7,"AB",6,"AB"
"Bank Swallow","4-7","4-6",1.09,7,"AB",6,"AB"
"Sharp-shinned Hawk","4-8","4-6",1,8,"AB",6,"AB"
"Northern Goshawk","4-8","4-6",1,8,"AB",6,"AB"
"Warbling Vireo","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Phoebe","4-7","4-6",1,7,"AB",6,"AB"
"Red-eyed Vireo","4-8","4-6",1,8,"AB",6,"AB"
"Lincoln's Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Clay-colored Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Black-and-white Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Kingbird","4-8","4-6",0.99,8,"AB",6,"AB"
"Yellow Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Least Flycatcher","4-7","4-6",1,7,"AB",6,"AB"
"Black-capped Chickadee","4-7","4-6",1,7,"AB",6,"AB"
"Red-tailed Hawk","4-7","4-6",1,7,"AB",6,"AB"
"Red-breasted Nuthatch","4-7","4-6",1,7,"AB",6,"AB"
"Black-capped Chickadee","4-8","4-6",1,8,"AB",6,"AB"
"Short-eared Owl","4-7","4-6",1,7,"AB",6,"AB"
"Northern Waterthrush","4-7","4-6",1.09,7,"AB",6,"AB"
"Fox Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Common Raven","4-7","4-6",1.7,7,"AB",6,"AB"
"Song Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Orange-crowned Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Western Tanager","4-7","4-6",0.83,7,"AB",6,"AB"
"Evening Grosbeak","4-8","4-6",0.05,8,"AB",6,"AB"
"Great Horned Owl","4-8","4-6",1,8,"AB",6,"AB"
"Red Crossbill","4-7","4-6",1.04,7,"AB",6,"AB"
"Yellow-rumped Warbler","4-8","4-6",1.04,8,"AB",6,"AB"
"Long-eared Owl","4-8","4-6",1,8,"AB",6,"AB"
"American Three-toed Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Yellow-bellied Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"Dark-eyed Junco","4-7","4-6",1,7,"AB",6,"AB"
"Bohemian Waxwing","4-8","4-6",1,8,"AB",6,"AB"
"Western Tanager","4-8","4-6",0.99,8,"AB",6,"AB"
"Yellow-bellied Sapsucker","4-8","4-6",1,8,"AB",6,"AB"
"Olive-sided Flycatcher","4-7","4-6",1,7,"AB",6,"AB"
"Northern Shrike","4-8","4-6",2,8,"AB",6,"AB"
"Magnolia Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Least Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"Bay-breasted Warbler","4-7","4-6",2,7,"AB",6,"AB"
"Alder Flycatcher","4-7","4-6",1,7,"AB",6,"AB"
"Red Crossbill","4-8","4-6",1.04,8,"AB",6,"AB"
"Short-eared Owl","4-8","4-6",1,8,"AB",6,"AB"
"Hairy Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Purple Finch","4-7","4-6",0.15,7,"AB",6,"AB"
"Northern Goshawk","4-7","4-6",1,7,"AB",6,"AB"
"Blue-headed Vireo","4-7","4-6",1,7,"AB",6,"AB"
"Swamp Sparrow","4-7","4-6",1.04,7,"AB",6,"AB"
"Lincoln's Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Yellow-bellied Flycatcher","4-7","4-6",1,7,"AB",6,"AB"
"Boreal Chickadee","4-8","4-6",1,8,"AB",6,"AB"
"Pine Grosbeak","4-7","4-6",2,7,"AB",6,"AB"
"Downy Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Blue-headed Vireo","4-8","4-6",0.99,8,"AB",6,"AB"
"Great Gray Owl","4-7","4-6",1.14,7,"AB",6,"AB"
"Boreal Owl","4-7","4-6",1.04,7,"AB",6,"AB"
"Yellow-bellied Sapsucker","4-7","4-6",1,7,"AB",6,"AB"
"Brown-headed Cowbird","4-8","4-6",0.78,8,"AB",6,"AB"
"Belted Kingfisher","4-7","4-6",1,7,"AB",6,"AB"
"Wilson's Warbler","4-8","4-6",1.32,8,"AB",6,"AB"
"Common Nighthawk","4-8","4-6",1,8,"AB",6,"AB"
"Common Raven","4-8","4-6",1.69,8,"AB",6,"AB"
"Cedar Waxwing","4-8","4-6",1,8,"AB",6,"AB"
"American Robin","4-8","4-6",0.99,8,"AB",6,"AB"
"Tree Swallow","4-8","4-6",1,8,"AB",6,"AB"
"Boreal Chickadee","4-7","4-6",1,7,"AB",6,"AB"
"Red-throated Pipit","3-1","3-2",2,1,"AK",2,"AK"
"Horned Lark","3-1","3-2",0.68,1,"AK",2,"AK"
"Lapland Longspur","3-1","3-2",0.65,1,"AK",2,"AK"
"Common Raven","3-1","3-2",0.65,1,"AK",2,"AK"
"Merlin","3-1","3-2",0.67,1,"AK",2,"AK"
"Peregrine Falcon","3-1","3-2",0.65,1,"AK",2,"AK"
"Hermit Thrush","3-1","3-2",0.06,1,"AK",2,"AK"
"Song Sparrow","3-1","3-2",2,1,"AK",2,"AK"
"Black-billed Magpie","3-1","3-2",1.64,1,"AK",2,"AK"
"Fox Sparrow","3-1","3-2",0.1,1,"AK",2,"AK"
"Belted Kingfisher","3-1","3-2",0.65,1,"AK",2,"AK"
"White Wagtail","3-1","3-2",2,1,"AK",2,"AK"
"Bank Swallow","3-1","3-2",0.4,1,"AK",2,"AK"
"Northern Shrike","3-1","3-2",0.35,1,"AK",2,"AK"
"Rough-legged Hawk","3-1","3-2",0.01,1,"AK",2,"AK"
"Gyrfalcon","3-1","3-2",0.02,1,"AK",2,"AK"
"Willow Ptarmigan","3-1","3-2",0.68,1,"AK",2,"AK"
"Bald Eagle","3-1","3-2",0.45,1,"AK",2,"AK"
"Common Redpoll","3-1","3-2",0.65,1,"AK",2,"AK"
"Great Horned Owl","3-1","3-2",1.21,1,"AK",2,"AK"
"Gray-crowned Rosy-Finch","3-1","3-2",0.61,1,"AK",2,"AK"
"Short-eared Owl","3-1","3-2",0.68,1,"AK",2,"AK"
"Rock Ptarmigan","3-1","3-2",0.65,1,"AK",2,"AK"
"Eastern Yellow Wagtail","3-1","3-2",0.11,1,"AK",2,"AK"
"Northern Wheatear","3-1","3-2",0.98,1,"AK",2,"AK"
"Savannah Sparrow","3-1","3-2",0.68,1,"AK",2,"AK"
"American Dipper","3-1","3-2",0.19,1,"AK",2,"AK"
"Olive-sided Flycatcher","3-1","3-2",0.65,1,"AK",2,"AK"
"Yellow Warbler","3-1","3-2",0.67,1,"AK",2,"AK"
"Snow Bunting","3-1","3-2",1,1,"AK",2,"AK"
"Golden Eagle","3-1","3-2",0.35,1,"AK",2,"AK"
"American Pipit","3-1","3-2",0.65,1,"AK",2,"AK"
"Hermit Thrush","93-5","3-5",1,5,"YT",5,"AK"
"Townsend's Warbler","93-5","3-5",0.24,5,"YT",5,"AK"
"Orange-crowned Warbler","93-3","3-3",1.42,3,"YT",3,"AK"
"Northwestern Crow","93-5","3-5",0.05,5,"YT",5,"AK"
"Northern Hawk Owl","93-5","3-5",1,5,"YT",5,"AK"
"Dark-eyed Junco","93-5","3-5",1,5,"YT",5,"AK"
"Northern Flicker","93-3","3-3",0.95,3,"YT",3,"AK"
"Pine Siskin","93-5","3-5",1,5,"YT",5,"AK"
"Olive-sided Flycatcher","93-3","3-3",0.15,3,"YT",3,"AK"
"Bald Eagle","93-3","3-3",0.65,3,"YT",3,"AK"
"Fox Sparrow","93-5","3-5",1,5,"YT",5,"AK"
"European Starling","93-5","3-5",1.51,5,"YT",5,"AK"
"Great Gray Owl","93-3","3-3",0.18,3,"YT",3,"AK"
"Blackpoll Warbler","93-3","3-3",1,3,"YT",3,"AK"
"American Three-toed Woodpecker","93-5","3-5",1,5,"YT",5,"AK"
"Boreal Owl","93-5","3-5",1.13,5,"YT",5,"AK"
"Tennessee Warbler","93-5","3-5",2,5,"YT",5,"AK"
"Western Screech-Owl","93-5","3-5",1.2,5,"YT",5,"AK"
"Yellow-rumped Warbler","93-3","3-3",1.2,3,"YT",3,"AK"
"Great Horned Owl","93-3","3-3",0.04,3,"YT",3,"AK"
"Orange-crowned Warbler","93-5","3-5",1.27,5,"YT",5,"AK"
"Peregrine Falcon","93-5","3-5",1,5,"YT",5,"AK"
"Red Crossbill","93-5","3-5",1,5,"YT",5,"AK"
"Eastern Yellow Wagtail","93-3","3-3",1,3,"YT",3,"AK"
"Olive-sided Flycatcher","93-5","3-5",1,5,"YT",5,"AK"
"Gray Jay","93-3","3-3",1.98,3,"YT",3,"AK"
"Northern Shrike","93-3","3-3",0.57,3,"YT",3,"AK"
"Fox Sparrow","93-3","3-3",1,3,"YT",3,"AK"
"Rough-legged Hawk","93-3","3-3",0.98,3,"YT",3,"AK"
"Tree Swallow","93-3","3-3",0.69,3,"YT",3,"AK"
"Red-breasted Sapsucker","93-5","3-5",0.02,5,"YT",5,"AK"
"Common Redpoll","93-5","3-5",1.46,5,"YT",5,"AK"
"Yellow Warbler","93-3","3-3",1,3,"YT",3,"AK"
"Cliff Swallow","93-5","3-5",1.06,5,"YT",5,"AK"
"Merlin","93-5","3-5",1,5,"YT",5,"AK"
"Common Redpoll","93-3","3-3",1,3,"YT",3,"AK"
"Osprey","93-5","3-5",1.14,5,"YT",5,"AK"
"American Robin","93-3","3-3",0.55,3,"YT",3,"AK"
"Rock Ptarmigan","93-5","3-5",1.09,5,"YT",5,"AK"
"Gray-headed Chickadee","93-3","3-3",0.88,3,"YT",3,"AK"
"Willow Ptarmigan","93-5","3-5",1,5,"YT",5,"AK"
"Short-eared Owl","93-5","3-5",1.06,5,"YT",5,"AK"
"Snowy Owl","93-3","3-3",2,3,"YT",3,"AK"
"Willow Ptarmigan","93-3","3-3",1,3,"YT",3,"AK"
"Spruce Grouse","93-3","3-3",0.63,3,"YT",3,"AK"
"Northern Goshawk","93-3","3-3",0.52,3,"YT",3,"AK"
"American Pipit","93-5","3-5",1.6,5,"YT",5,"AK"
"Rusty Blackbird","93-5","3-5",1.13,5,"YT",5,"AK"
"Gyrfalcon","93-5","3-5",2,5,"YT",5,"AK"
"Red-winged Blackbird","93-5","3-5",1.83,5,"YT",5,"AK"
"Pine Grosbeak","93-5","3-5",1,5,"YT",5,"AK"
"Northern Shrike","93-5","3-5",0.4,5,"YT",5,"AK"
"Rusty Blackbird","93-3","3-3",0.3,3,"YT",3,"AK"
"American Robin","93-5","3-5",1,5,"YT",5,"AK"
"Peregrine Falcon","93-3","3-3",1,3,"YT",3,"AK"
"Downy Woodpecker","93-5","3-5",1,5,"YT",5,"AK"
"Alder Flycatcher","93-3","3-3",0.15,3,"YT",3,"AK"
"Swainson's Hawk","93-3","3-3",0.83,3,"YT",3,"AK"
"Brown Creeper","93-5","3-5",1,5,"YT",5,"AK"
"Gray-cheeked Thrush","93-3","3-3",0.22,3,"YT",3,"AK"
"Northern Wheatear","93-3","3-3",1,3,"YT",3,"AK"
"White-winged Crossbill","93-5","3-5",1.21,5,"YT",5,"AK"
"Northern Saw-whet Owl","93-5","3-5",1.08,5,"YT",5,"AK"
"Tree Swallow","93-5","3-5",1.13,5,"YT",5,"AK"
"Golden Eagle","93-3","3-3",1,3,"YT",3,"AK"
"Boreal Owl","93-3","3-3",0.19,3,"YT",3,"AK"
"Bank Swallow","93-3","3-3",0.35,3,"YT",3,"AK"
"Hairy Woodpecker","93-5","3-5",1,5,"YT",5,"AK"
"Northern Hawk Owl","93-3","3-3",0.22,3,"YT",3,"AK"
"Pine Grosbeak","93-3","3-3",0.72,3,"YT",3,"AK"
"Snow Bunting","93-3","3-3",0.83,3,"YT",3,"AK"
"Great Horned Owl","93-5","3-5",1,5,"YT",5,"AK"
"White-crowned Sparrow","93-5","3-5",1.52,5,"YT",5,"AK"
"Ruby-crowned Kinglet","93-5","3-5",1,5,"YT",5,"AK"
"Chipping Sparrow","93-5","3-5",1.13,5,"YT",5,"AK"
"American Tree Sparrow","93-3","3-3",0.94,3,"YT",3,"AK"
"Northern Harrier","93-3","3-3",0.6,3,"YT",3,"AK"
"Black-billed Magpie","93-5","3-5",1,5,"YT",5,"AK"
"Say's Phoebe","93-5","3-5",2,5,"YT",5,"AK"
"White-tailed Ptarmigan","93-5","3-5",1,5,"YT",5,"AK"
"Alder Flycatcher","93-5","3-5",1.02,5,"YT",5,"AK"
"Rock Pigeon","93-5","3-5",1,5,"YT",5,"AK"
"Bald Eagle","93-5","3-5",1,5,"YT",5,"AK"
"Red-breasted Nuthatch","93-5","3-5",1,5,"YT",5,"AK"
"Great Gray Owl","93-5","3-5",1.13,5,"YT",5,"AK"
"Bohemian Waxwing","93-3","3-3",2,3,"YT",3,"AK"
"Sharp-shinned Hawk","93-5","3-5",1,5,"YT",5,"AK"
"Northern Harrier","93-5","3-5",1,5,"YT",5,"AK"
"Osprey","93-3","3-3",0.45,3,"YT",3,"AK"
"Bank Swallow","93-5","3-5",2,5,"YT",5,"AK"
"Rock Ptarmigan","93-3","3-3",0.59,3,"YT",3,"AK"
"MacGillivray's Warbler","93-5","3-5",0.01,5,"YT",5,"AK"
"Boreal Chickadee","93-3","3-3",1.07,3,"YT",3,"AK"
"Short-eared Owl","93-3","3-3",1,3,"YT",3,"AK"
"Northern Wheatear","93-5","3-5",2,5,"YT",5,"AK"
"Lapland Longspur","93-3","3-3",0.83,3,"YT",3,"AK"
"Lincoln's Sparrow","93-5","3-5",1,5,"YT",5,"AK"
"Gray-crowned Rosy-Finch","93-3","3-3",0.73,3,"YT",3,"AK"
"Common Raven","93-5","3-5",1,5,"YT",5,"AK"
"Belted Kingfisher","93-3","3-3",0.24,3,"YT",3,"AK"
"Hoary Redpoll","93-3","3-3",0.88,3,"YT",3,"AK"
"White-crowned Sparrow","93-3","3-3",0.56,3,"YT",3,"AK"
"Wilson's Warbler","93-3","3-3",1,3,"YT",3,"AK"
"Merlin","93-3","3-3",0.87,3,"YT",3,"AK"
"Black-backed Woodpecker","93-5","3-5",0.38,5,"YT",5,"AK"
"Wilson's Warbler","93-5","3-5",1,5,"YT",5,"AK"
"Belted Kingfisher","93-5","3-5",1,5,"YT",5,"AK"
"American Dipper","93-5","3-5",1,5,"YT",5,"AK"
"Bohemian Waxwing","93-5","3-5",1.47,5,"YT",5,"AK"
"Gray-cheeked Thrush","93-5","3-5",1.77,5,"YT",5,"AK"
"Horned Lark","93-5","3-5",1.77,5,"YT",5,"AK"
"Violet-green Swallow","93-5","3-5",1.21,5,"YT",5,"AK"
"Varied Thrush","93-5","3-5",1,5,"YT",5,"AK"
"Savannah Sparrow","93-5","3-5",1.31,5,"YT",5,"AK"
"Golden Eagle","93-5","3-5",0.61,5,"YT",5,"AK"
"Chestnut-backed Chickadee","93-5","3-5",0.3,5,"YT",5,"AK"
"Northern Goshawk","93-5","3-5",1,5,"YT",5,"AK"
"Song Sparrow","93-5","3-5",1,5,"YT",5,"AK"
"Horned Lark","93-3","3-3",0.98,3,"YT",3,"AK"
"American Pipit","93-3","3-3",1,3,"YT",3,"AK"
"Smith's Longspur","93-3","3-3",0.74,3,"YT",3,"AK"
"American Three-toed Woodpecker","93-3","3-3",0.75,3,"YT",3,"AK"
"Barn Swallow","93-5","3-5",1,5,"YT",5,"AK"
"Boreal Chickadee","93-5","3-5",1.43,5,"YT",5,"AK"
"Say's Phoebe","93-3","3-3",0.84,3,"YT",3,"AK"
"Smith's Longspur","93-5","3-5",2,5,"YT",5,"AK"
"Dark-eyed Junco","93-3","3-3",2,3,"YT",3,"AK"
"Gyrfalcon","93-3","3-3",1.05,3,"YT",3,"AK"
"Varied Thrush","93-3","3-3",0.77,3,"YT",3,"AK"
"Golden-crowned Sparrow","93-5","3-5",1,5,"YT",5,"AK"
"Red-tailed Hawk","93-5","3-5",1,5,"YT",5,"AK"
"Common Raven","93-3","3-3",0.81,3,"YT",3,"AK"
"Northern Waterthrush","93-3","3-3",0.67,3,"YT",3,"AK"
"Northern Flicker","93-5","3-5",0.92,5,"YT",5,"AK"
"Rufous Hummingbird","93-5","3-5",1.42,5,"YT",5,"AK"
"Yellow Warbler","93-5","3-5",1,5,"YT",5,"AK"
"Swainson's Thrush","93-3","3-3",0.02,3,"YT",3,"AK"
"Golden-crowned Kinglet","93-5","3-5",1,5,"YT",5,"AK"
"Ruby-crowned Kinglet","93-3","3-3",0.2,3,"YT",3,"AK"
"Black-capped Chickadee","93-5","3-5",1.22,5,"YT",5,"AK"
"Townsend's Solitaire","93-5","3-5",1.19,5,"YT",5,"AK"
"Western Wood-Pewee","93-5","3-5",1.63,5,"YT",5,"AK"
"Yellow-rumped Warbler","93-5","3-5",0.96,5,"YT",5,"AK"
"Sharp-shinned Hawk","93-3","3-3",0.94,3,"YT",3,"AK"
"Savannah Sparrow","93-3","3-3",1,3,"YT",3,"AK"
"Black-throated Sparrow","55-16","6-16",1.02,16,"NV",16,"AZ"
"Prairie Falcon","55-16","6-16",1,16,"NV",16,"AZ"
"Long-eared Owl","55-16","6-16",1,16,"NV",16,"AZ"
"American Kestrel","55-16","6-16",1,16,"NV",16,"AZ"
"Pinyon Jay","55-16","6-16",1,16,"NV",16,"AZ"
"Mourning Dove","55-16","6-16",1,16,"NV",16,"AZ"
"Spotted Towhee","55-16","6-16",1.05,16,"NV",16,"AZ"
"Bell's Vireo","55-16","6-16",2,16,"NV",16,"AZ"
"House Wren","55-16","6-16",1.12,16,"NV",16,"AZ"
"Say's Phoebe","55-16","6-16",1,16,"NV",16,"AZ"
"Ferruginous Hawk","55-16","6-16",1.06,16,"NV",16,"AZ"
"Juniper Titmouse","55-16","6-16",1,16,"NV",16,"AZ"
"Lesser Goldfinch","55-16","6-16",1,16,"NV",16,"AZ"
"Lesser Nighthawk","55-16","6-16",2,16,"NV",16,"AZ"
"Violet-green Swallow","55-16","6-16",1,16,"NV",16,"AZ"
"Verdin","55-16","6-16",2,16,"NV",16,"AZ"
"Yellow-breasted Chat","55-16","6-16",0.91,16,"NV",16,"AZ"
"Lewis's Woodpecker","55-16","6-16",1.04,16,"NV",16,"AZ"
"House Sparrow","55-16","6-16",1,16,"NV",16,"AZ"
"Horned Lark","55-16","6-16",1,16,"NV",16,"AZ"
"Gambel's Quail","55-16","6-16",2,16,"NV",16,"AZ"
"Cassin's Kingbird","55-16","6-16",1.01,16,"NV",16,"AZ"
"European Starling","55-16","6-16",1,16,"NV",16,"AZ"
"Black-chinned Sparrow","55-16","6-16",2,16,"NV",16,"AZ"
"Ash-throated Flycatcher","55-16","6-16",1,16,"NV",16,"AZ"
"Cooper's Hawk","55-16","6-16",1.01,16,"NV",16,"AZ"
"Common Poorwill","55-16","6-16",1,16,"NV",16,"AZ"
"Willow Flycatcher","55-16","6-16",1,16,"NV",16,"AZ"
