"x"
"Burrowing Owl - Missing Polygon - 14-15"
"Burrowing Owl - Missing Polygon - 55-33"
"Ruby-throated Hummingbird - Missing Polygon - 18-28"
"Ruby-throated Hummingbird - Missing Polygon - 39-26"
"Ruby-throated Hummingbird - Missing Polygon - 59-29"
"Say's Phoebe - Missing Polygon - 3-5"
"Say's Phoebe - Missing Polygon - 3-3"
"Horned Lark - Missing Polygon - 4-6"
"Horned Lark - Missing Polygon - 4-6"
"Horned Lark - Missing Polygon - 3-5"
"Horned Lark - Missing Polygon - 18-28"
"Horned Lark - Missing Polygon - 39-26"
"Horned Lark - Missing Polygon - 45-8"
"Horned Lark - Missing Polygon - 58-30"
"Horned Lark - Missing Polygon - 59-29"
"Horned Lark - Missing Polygon - 57-7"
"Horned Lark - Missing Polygon - 43-7"
"Horned Lark - Missing Polygon - 43-7"
"Horned Lark - Missing Polygon - 67-24"
"Bobolink - Missing Polygon - 18-28"
"Rusty Blackbird - Missing Polygon - 4-6"
"Rusty Blackbird - Missing Polygon - 4-6"
"Rusty Blackbird - Missing Polygon - 3-5"
"Rusty Blackbird - Missing Polygon - 3-3"
"Rusty Blackbird - Missing Polygon - 45-8"
"Common Grackle - Missing Polygon - 18-28"
"Common Grackle - Missing Polygon - 39-26"
"House Finch - Missing Polygon - 18-28"
"House Finch - Missing Polygon - 39-26"
"Nelson's Sparrow - Missing Polygon - 45-8"
"Lark Sparrow - Missing Polygon - 35-23"
"Lark Sparrow - Missing Polygon - 39-26"
"Lark Sparrow - Missing Polygon - 55-33"
"Brewer's Sparrow - Missing Polygon - 54-18"
"Spotted Towhee - Missing Polygon - 55-33"
"Purple Martin - Missing Polygon - 39-26"
"Purple Martin - Missing Polygon - 81-17"
"Loggerhead Shrike - Missing Polygon - 35-23"
"Loggerhead Shrike - Missing Polygon - 39-26"
"Loggerhead Shrike - Missing Polygon - 67-24"
"Brown Thrasher - Missing Polygon - 18-28"
"Brown Thrasher - Missing Polygon - 39-26"
"Brown Thrasher - Missing Polygon - 58-30"
"Eurasian Collared-Dove - Missing Polygon - 39-26"
"Broad-winged Hawk - Missing Polygon - 18-28"
"Broad-winged Hawk - Missing Polygon - 35-23"
"Broad-winged Hawk - Missing Polygon - 39-26"
"Broad-winged Hawk - Missing Polygon - 59-29"
"Broad-winged Hawk - Missing Polygon - 67-24"
"Broad-winged Hawk - Missing Polygon - 72-29"
"Long-eared Owl - Missing Polygon - 6-16"
"Long-eared Owl - Missing Polygon - 14-15"
"Long-eared Owl - Missing Polygon - 33-9"
"Long-eared Owl - Missing Polygon - 45-8"
"Long-eared Owl - Missing Polygon - 54-19"
"Long-eared Owl - Missing Polygon - 54-18"
"Long-eared Owl - Missing Polygon - 60-35"
"Long-eared Owl - Missing Polygon - 43-7"
"Long-eared Owl - Missing Polygon - 55-33"
"Long-eared Owl - Missing Polygon - 81-17"
"Long-eared Owl - Missing Polygon - 85-16"
"Long-eared Owl - Missing Polygon - 93-4"
"Long-eared Owl - Missing Polygon - 93-4"
"Barred Owl - Missing Polygon - 18-28"
"Barred Owl - Missing Polygon - 35-23"
"Barred Owl - Missing Polygon - 39-26"
"Barred Owl - Missing Polygon - 59-29"
"Barred Owl - Missing Polygon - 59-30"
"Great Gray Owl - Missing Polygon - 3-3"
"Great Gray Owl - Missing Polygon - 3-5"
"Great Gray Owl - Missing Polygon - 14-15"
"Great Gray Owl - Missing Polygon - 43-7"
"Great Gray Owl - Missing Polygon - 93-4"
"Great Gray Owl - Missing Polygon - 93-4"
"Northern Hawk Owl - Missing Polygon - 3-5"
"Northern Hawk Owl - Missing Polygon - 3-3"
"Northern Hawk Owl - Missing Polygon - 45-8"
"Northern Hawk Owl - Missing Polygon - 57-7"
"Northern Hawk Owl - Missing Polygon - 43-7"
"Northern Hawk Owl - Missing Polygon - 43-7"
"Northern Pygmy-Owl - Missing Polygon - 33-9"
"Northern Pygmy-Owl - Missing Polygon - 60-35"
"Northern Pygmy-Owl - Missing Polygon - 55-33"
"Black-billed Cuckoo - Missing Polygon - 18-28"
"Black-billed Cuckoo - Missing Polygon - 39-26"
"Black-billed Cuckoo - Missing Polygon - 54-19"
"Black-billed Cuckoo - Missing Polygon - 54-18"
"Black-billed Cuckoo - Missing Polygon - 59-30"
"Black-billed Cuckoo - Missing Polygon - 67-24"
"Black-billed Cuckoo - Missing Polygon - 67-21"
"Black-billed Cuckoo - Missing Polygon - 72-29"
"Yellow-bellied Flycatcher - Missing Polygon - 58-30"
"Yellow-bellied Flycatcher - Missing Polygon - 43-7"
"Yellow-bellied Flycatcher - Missing Polygon - 43-7"
"Black-and-white Warbler - Missing Polygon - 18-28"
"Black-and-white Warbler - Missing Polygon - 39-26"
"Black-and-white Warbler - Missing Polygon - 59-29"
"Black-and-white Warbler - Missing Polygon - 43-7"
"Black-and-white Warbler - Missing Polygon - 43-7"
"Black-and-white Warbler - Missing Polygon - 93-4"
"Black-and-white Warbler - Missing Polygon - 93-4"
"Cape May Warbler - Missing Polygon - 43-7"
"Magnolia Warbler - Missing Polygon - 18-28"
"Magnolia Warbler - Missing Polygon - 58-30"
"Magnolia Warbler - Missing Polygon - 43-7"
"Magnolia Warbler - Missing Polygon - 43-7"
"Magnolia Warbler - Missing Polygon - 93-4"
"Magnolia Warbler - Missing Polygon - 93-4"
"Chestnut-sided Warbler - Missing Polygon - 18-28"
"Bay-breasted Warbler - Missing Polygon - 43-7"
"Bay-breasted Warbler - Missing Polygon - 43-7"
"Black-throated Green Warbler - Missing Polygon - 18-28"
"Black-throated Green Warbler - Missing Polygon - 45-8"
"Palm Warbler - Missing Polygon - 57-7"
"Canada Warbler - Missing Polygon - 18-28"
"Canada Warbler - Missing Polygon - 58-30"
"Canada Warbler - Missing Polygon - 93-4"
"Canada Warbler - Missing Polygon - 93-4"
"Winter Wren - Missing Polygon - 14-15"
"Winter Wren - Missing Polygon - 18-28"
"Winter Wren - Missing Polygon - 93-4"
"Winter Wren - Missing Polygon - 93-4"
"Willow Ptarmigan - Missing Polygon - 57-7"
"Willow Ptarmigan - Missing Polygon - 43-7"
"Rock Ptarmigan - Missing Polygon - 3-5"
"Rock Ptarmigan - Missing Polygon - 57-7"
"Rock Ptarmigan - Missing Polygon - 43-7"
"Northern Goshawk - Missing Polygon - 4-6"
