"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Pine Warbler",6710,27,57,6698279.01,6670798.5,0.135760367899184,5657521.2,8024079.4,5068348.275,8522026.9,6700000,6670000,5660000,8020000,5070000,8520000,"AL"
2,"Ovenbird",6740,28,21,42422.73,41371.5,0.364361583487124,22515.5,61719.3,18493.525,72354.625,42400,41400,22500,61700,18500,72400,"AL"
2,"Tree Swallow",6140,27,57,4703.33,4316.5,0.598470349206706,1181.2,8158.3,360.05,10641.875,4700,4320,1180,8160,360,10600,"AL"
2,"Mississippi Kite",3290,27,57,289542.62,270450.5,0.429324276085428,160387.8,443038.2,121198.15,580272.85,290000,270000,160000,443000,121000,580000,"AL"
2,"Hairy Woodpecker",3930,29,5,13573.04,13421.5,0.342042020520796,8102.9,19955.6,5536.1,22064.35,13600,13400,8100,20000,5540,22100,"AL"
2,"Ovenbird",6740,29,5,4761.01,4502.5,0.542054220328697,1677.2,7912.7,949.15,10193.3,4760,4500,1680,7910,949,10200,"AL"
2,"Tufted Titmouse",7310,28,21,3176543.09,3150847.5,0.115619613550052,2712520.6,3673461.5,2594793.45,3970091.925,3180000,3150000,2710000,3670000,2590000,3970000,"AL"
2,"Brown Thrasher",7050,29,5,80924.13,81584.5,0.200688164121131,60549.1,102296.1,50527.65,110843.9,80900,81600,60500,102000,50500,111000,"AL"
2,"Eurasian Collared-Dove",22860,29,5,8448.7,8476.5,0.419460076554734,3773.7,13569.8,2306.825,15274.15,8450,8480,3770,13600,2310,15300,"AL"
2,"Blue Jay",4770,27,57,3722999.37,3765659,0.128779897722705,3149612.3,4345630.4,2874683.5,4686760.55,3720000,3770000,3150000,4350000,2870000,4690000,"AL"
2,"Black Vulture",3260,24,6,158492.24,139399.5,0.561460322273429,64996.6,277515.3,34660.175,355685.775,158000,139000,65000,278000,34700,356000,"AL"
2,"Eastern Kingbird",4440,29,5,62061.37,61694,0.196894783730956,48053.7,77684.2,40003.75,87396.8749999999,62100,61700,48100,77700,40000,87400,"AL"
2,"Osprey",3640,27,57,39550.51,36714.5,0.677077401396632,9110,72276.6,5664.475,102973.75,39600,36700,9110,72300,5660,103000,"AL"
2,"Ruby-throated Hummingbird",4280,24,6,358010.86,355577,0.224357595587338,254130.5,455525.5,206171.275,519083.425,358000,356000,254000,456000,206000,519000,"AL"
2,"Yellow-breasted Chat",6830,29,5,376495.34,372432.5,0.1031663795323,331408.9,418901.6,311650.6,454714.55,376000,372000,331000,419000,312000,455000,"AL"
2,"Cliff Swallow",6120,24,6,600738.76,592270.5,0.347106655505311,374446.4,889359.5,198065.275,999201.65,601000,592000,374000,889000,198000,999000,"AL"
2,"Indigo Bunting",5980,29,5,897318.47,879279,0.133345531202343,757048,1066770.2,692467.925,1122039.875,897000,879000,757000,1070000,692000,1120000,"AL"
2,"Hooded Warbler",6840,29,5,582297.68,575106,0.267781576255729,383391.3,798950.7,298968.825,902020.9,582000,575000,383000,799000,299000,902000,"AL"
2,"Rock Pigeon",3131,28,21,25859.28,24626.5,0.497429187612978,11521,44348.5,8196.925,55574.425,25900,24600,11500,44300,8200,55600,"AL"
2,"Red-cockaded Woodpecker",3950,28,21,27164.36,22248.5,1.13611332484016,0,72573.3,0,107176,27200,22200,0,72600,0,107000,"AL"
2,"Northern Parula",6480,27,57,2677839.14,2664775,0.160060382825492,2091130.1,3217216.4,1923402.3,3610703.25,2680000,2660000,2090000,3220000,1920000,3610000,"AL"
2,"Scarlet Tanager",6080,27,57,56099.06,50219.5,0.516548545291401,21760.3,100911.6,15565.6,119967.8,56100,50200,21800,101000,15600,120000,"AL"
2,"Common Nighthawk",4200,28,21,624.19,575.5,0.720589620295192,0,1238.4,0,1535.825,624,576,0,1240,0,1540,"AL"
2,"Red-bellied Woodpecker",4090,27,57,3768074.62,3757446.5,0.0937181760054288,3315536.9,4203325.1,3064253.3,4448834.9,3770000,3760000,3320000,4200000,3060000,4450000,"AL"
2,"Black Vulture",3260,28,21,160275.31,140458.5,0.5440540345271,73194.9,283836.9,58739.85,333497.25,160000,140000,73200,284000,58700,333000,"AL"
2,"Yellow-throated Vireo",6280,28,21,458668.55,460411.5,0.205490704512976,335338.4,571135.1,279177.45,659793.55,459000,460000,335000,571000,279000,660000,"AL"
2,"Northern Bobwhite",2890,24,6,14357.17,14083.5,0.452730441491021,6849.9,21935.5,3344.9,26073.85,14400,14100,6850,21900,3340,26100,"AL"
2,"Cooper's Hawk",3330,24,6,12080.04,11064,0.66641053864541,3561.4,23005.7,1073.8,33628.35,12100,11100,3560,23000,1070,33600,"AL"
2,"Swainson's Warbler",6380,27,57,433427.09,427538,0.185876752855799,339487.5,539742.2,296415.175,621361.5,433000,428000,339000,540000,296000,621000,"AL"
2,"Blue-gray Gnatcatcher",7510,24,6,1077536.76,1092443,0.230986775638104,735606.1,1398519.9,648782.5,1532817.05,1080000,1090000,736000,1400000,649000,1530000,"AL"
2,"Cooper's Hawk",3330,27,57,100434.17,98358,0.358582849890403,60067.1,139143.5,51077.975,178168.25,1e+05,98400,60100,139000,51100,178000,"AL"
