cn,aou,TimeAdj.meanlog,Dist2,Pair2,order,family,genus,family_TimeAdj.meanlog,family_Dist2,family_Pair2,genus_TimeAdj.meanlog,genus_Dist2,genus_Pair2,order_TimeAdj.meanlog,order_Dist2,order_Pair2,Pair2_final,Dist2_final,TimeAdj.meanlog_final,C_t,C_d,C_p,PIF_adj_birds_km2
Alder Flycatcher,4661,0.279321986,125,2,Passeriformes,Tyrannidae,Empidonax,0.3035152834285714,167.85714285714286,1.9285714285714286,0.218500693375,121.875,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.279321986,1.3222330158554947,0.407436998462562,2,1.0774533024965278
Allen's Hummingbird,4340,0.291735312,50,1.25,Apodiformes,Trochilidae,Selasphorus,0.26896575300000003,53,1.675,0.27366011825000003,57.5,1.625,0.40338701964285717,95,1.625,1.25,50,0.291735312,1.3387486200442253,2.5464812403910115,1.25,4.261372808177468
American Crow,4880,0.509424135,400,1.75,Passeriformes,Corvidae,Corvus,0.25450411287499997,270.3125,1.359375,0.39157398499999996,400,1.4375,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,400,0.509424135,1.664332488101261,0.039788769381109555,1.75,0.11588804769946136
American Dipper,7010,0.120627704,125,1.75,Passeriformes,Cinclidae,Cinclus,0.120627704,125,1.75,0.120627704,125,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.120627704,1.128204808033403,0.407436998462562,1.75,0.8044266661132812
American Goldfinch,5290,0.311311237,125,1.25,Passeriformes,Fringillidae,Spinus,0.2552985766,123.33333333333333,1.7,0.31119874825,118.75,1.5625,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,125,0.311311237,1.365214060198376,0.407436998462562,1.25,0.6952983986826422
American Kestrel,3600,0.290453514,200,1.25,Falconiformes,Falconidae,Falco,0.2573103881666667,254.16666666666666,1.5,0.2560723988,245,1.6,0.2573103881666667,254.16666666666666,1.5,1.25,200,0.290453514,1.3370337140568822,0.15915507752443822,1.25,0.2659946305168883
American Pipit,6970,0.331264898,200,2,Passeriformes,Motacillidae,Anthus,0.33047188699999996,200,2,0.33047188699999996,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.331264898,1.392728674488376,0.15915507752443822,2,0.44331968031741115
American Redstart,6870,0.081164913,100,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,100,0.081164913,1.0845497381706732,0.6366203100977529,2,1.3808927812613014
American Robin,7610,0.816820459,200,2,Passeriformes,Turdidae,Turdus,0.5218871619166666,181.25,1.9583333333333333,0.816820459,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.816820459,2.263292154841953,0.15915507752443822,2,0.7204288767286477
American Three-toed Woodpecker,4010,0.231914705,125,1.5,Piciformes,Picidae,Picoides,0.30280097036363635,160.22727272727272,1.5909090909090908,0.3295777145,125,1.5,0.30280097036363635,160.22727272727272,1.5909090909090908,1.5,125,0.231914705,1.261012166208401,0.407436998462562,1.5,0.7706745180370864
American Tree Sparrow,5590,0.48677923,200,2,Passeriformes,Passerellidae,Spizelloides,0.49209269541463413,161.58536585365854,1.8841463414634145,0.48677923,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.48677923,1.627067362063007,0.15915507752443822,2,0.5179120642932421
Anna's Hummingbird,4310,0.188295714,50,2,Apodiformes,Trochilidae,Calypte,0.26896575300000003,53,1.675,0.2356216015,50,1.625,0.40338701964285717,95,1.625,2,50,0.188295714,1.2071904456878113,2.5464812403910115,2,6.148175647046552
Arctic Warbler,7470,0.336241881,125,2,Passeriformes,Phylloscopidae,Phylloscopus,0.336241881,125,2,0.336241881,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.336241881,1.3996775392720484,0.407436998462562,2,1.1405608308329362
Ash-throated Flycatcher,4540,0.285893654,200,1.5,Passeriformes,Tyrannidae,Myiarchus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.24873661,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.285893654,1.330950906420755,0.15915507752443822,1.5,0.3177413920389249
Bachman's Sparrow,5750,0.353020961,200,2,Passeriformes,Passerellidae,Peucaea,0.49209269541463413,161.58536585365854,1.8841463414634145,0.3358864475,200,1.8125,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.353020961,1.4233609781903815,0.15915507752443822,2,0.4530702536583008
Baird's Sparrow,5450,0.347885573,125,2,Passeriformes,Passerellidae,Centronyx,0.49209269541463413,161.58536585365854,1.8841463414634145,0.5132458655000001,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.347885573,1.4160702038037745,0.407436998462562,2,1.1539187869001566
Baltimore Oriole,5070,0.141448158,125,1.75,Passeriformes,Icteridae,Icterus,0.2590635304,162.5,1.5125,0.15079328057142857,125,1.7857142857142858,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.141448158,1.1519407837986941,0.407436998462562,1.75,0.8213507668757143
Band-tailed Pigeon,3120,0.445606274,200,1.75,Columbiformes,Columbidae,Patagioenas,0.34525120416666666,187.5,1.5,0.445606274,200,1.75,0.34525120416666666,187.5,1.5,1.75,200,0.445606274,1.5614365673168795,0.15915507752443822,1.75,0.4348934763614186
Bank Swallow,6160,0.642518351,200,1,Passeriformes,Hirundinidae,Riparia,0.376730184375,190.625,1.34375,0.642518351,200,1,0.31361236473835125,159.56989247311827,1.793010752688172,1,200,0.642518351,1.9012629027031978,0.15915507752443822,1,0.30259564467406586
Barn Owl,3650,1.639980926,200,2,Strigiformes,Tytonidae,Tyto,1.639980926,200,2,1.639980926,200,2,1.5697160733125,182.8125,1.96875,2,200,1.639980926,5.155071183469169,0.15915507752443822,2,1.6409115076980663
Barn Swallow,6130,0.288208703,200,1.5,Passeriformes,Hirundinidae,Hirundo,0.376730184375,190.625,1.34375,0.288208703,200,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.288208703,1.3340356923232428,0.15915507752443822,1.5,0.31847783104811
Barred Owl,3680,2.246063781,200,2,Strigiformes,Strigidae,Strix,1.5650317498,181.66666666666666,1.9666666666666666,1.92480451,200,2,1.5697160733125,182.8125,1.96875,2,200,2.246063781,9.450463434584801,0.15915507752443822,2,3.0081784811464254
Bay-breasted Warbler,6600,0.153659869,80,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,80,0.153659869,1.166094194534118,0.9947192345277392,2,2.319872649148437
Bell's Sparrow,5739,0.356608677,200,2,Passeriformes,Passerellidae,Artemisiospiza,0.49209269541463413,161.58536585365854,1.8841463414634145,0.35751107449999997,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.356608677,1.4284767646526753,0.15915507752443822,2,0.45469866044031043
Bell's Vireo,6330,0.180378292,125,2,Passeriformes,Vireonidae,Vireo,0.2619165115384615,125,2,0.2619165115384615,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.180378292,1.1976703465471412,0.407436998462562,2,0.9759504222895673
Belted Kingfisher,3900,0.290382383,200,2,Coraciiformes,Alcedinidae,Megaceryle,0.290382383,200,2,0.290382383,200,2,0.290382383,200,2,2,200,0.290382383,1.336938612894128,0.15915507752443822,2,0.42556113716115973
Bendire's Thrasher,7080,0.151208587,200,2,Passeriformes,Mimidae,Toxostoma,0.19060758960000002,192.5,1.85,0.1693725632857143,200,1.8571428571428572,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.151208587,1.16323926936764,0.15915507752443822,2,0.3702708721913553
Bewick's Wren,7190,0.263952086,200,1.75,Passeriformes,Troglodytidae,Thryomanes,0.4242149559,177.5,1.825,0.263952086,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.263952086,1.302065807625154,0.15915507752443822,1.75,0.36265317297037786
Black Phoebe,4580,0.490597113,125,1.5,Passeriformes,Tyrannidae,Sayornis,0.3035152834285714,167.85714285714286,1.9285714285714286,0.777088878,150,1.8333333333333333,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.490597113,1.6332911882445769,0.407436998462562,1.5,0.9981948890305825
