cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,cue_rate,cue_rate_sd,use_cue_rate
Canyon Towhee,0.901022212,0.013820457,125,2,5910,105,138,CANT,80.7262222671563,1.7413790369375874,8,TRUE,0.30590065374422537,0.035576088949865636,TRUE
Canyon Wren,0.627107745,0.00823747,200,2,7170,140,220,CANW,161.37114851619708,14.172467462134904,1,TRUE,0.2833030269072134,0.019500538053486782,TRUE
Cape May Warbler,0.325792288,0.005702945,80,2,6500,56,88,CMWA,59.382579165085815,2.69682256380559,5,TRUE,0.2615415360834786,0.014505896476587565,TRUE
Carolina Chickadee,0.23301274,0.013259707,125,1.25,7360,105,138,CACH,41.015481355252874,0.129287040076683,8,TRUE,0.22163321345226986,0.004331749756232489,TRUE
Carolina Wren,0.2685187,0.014746994,200,1.5,7180,140,220,CARW,66.8377209150411,0.4290089172483249,4,TRUE,0.2437531209274057,0.0021608116325286253,TRUE
Cassin's Finch,0.290200251,0.012993251,125,2,5180,105,138,CAFI,78.68039840415648,1.901888919443138,3,TRUE,0.23454002380814995,0.008177083668164026,TRUE
Cassin's Kingbird,0.429312979,0.017320122,200,2,4480,140,220,CAKI,140.12794668794848,2.9078051535515783,6,TRUE,0.376140242146184,0.020036120801391444,TRUE
Cassin's Sparrow,0.324927907,0.022658797,200,1.75,5780,140,220,CASP,122.50220392484181,0.7042432322095635,6,TRUE,0.6629460638609049,0.008726759916832472,TRUE
Cassin's Vireo,0.29475794,0.011141985,125,2,6291,105,138,CAVI,66.02361814166954,0.6385523143529213,3,TRUE,0.356057662547014,0.008577761339730317,TRUE
Cave Swallow,0.601584903,0.097402064,200,1,6121,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Cedar Waxwing,0.251384113,0.021058939,100,1.75,6190,84,110,CEDW,66.85972630144636,0.33409620611303126,8,TRUE,0.10978119806677719,0.004465552386321708,TRUE
Cerulean Warbler,0.214654972,0.006059708,100,2,6580,84,110,CERW,46.493463976416464,1.7720161769785392,3,TRUE,0.26126994196569775,0.01432887030037755,TRUE
Chestnut-backed Chickadee,0.172673671,0.018267892,80,1.25,7410,56,88,CBCH,38.466145812109914,0.1710696052982783,9,TRUE,0.2166081187691518,0.012842347147887762,TRUE
Chestnut-collared Longspur,0.47764042,0.035721667,200,1.5,5380,140,220,CCLO,95.14292926081474,0.7407897268653016,4,TRUE,0.33549950800500505,0.00661103633207627,TRUE
Chestnut-sided Warbler,0.207905027,0.009565074,125,2,6590,105,138,CSWA,73.42622221845602,0.4391227574360528,9,TRUE,0.29246980366113995,0.003972003733406448,TRUE
Chihuahuan Raven,0.246353299,0.018415724,400,1.75,4870,320,440,CHRA,365.4215449125494,14.777634685485054,3,TRUE,0.19081089574607346,0.016586779719466982,TRUE
Chimney Swift,0.281915163,0.018153048,200,1.75,4230,140,220,CHSW,66.2727532610155,1.011624450874578,3,TRUE,0.11918966695535038,0.006020772159844909,TRUE
Chipping Sparrow,0.695273332,0.023465322,125,2,5600,105,138,CHSP,78.93531525803172,0.3277784437747755,8,TRUE,0.29057124953656904,0.003060974593380894,TRUE
Chuck-will's-widow,3.018785009,0.008504079,300,2,4160,220,330,CWWI,83.26203705295863,5.420604953113752,5,TRUE,0.3923849918697279,0.07182118146610872,TRUE
Chukar,0.516304491,0.161395519,300,2,2882,220,330,CHUK,260.72576583117905,10.816937940942154,4,TRUE,0.3060876560848342,0.01948715436382703,TRUE
Clark's Nutcracker,0.324373017,0.0131279,300,1.25,4910,220,330,CLNU,164.62388689621625,5.273590038861954,1,TRUE,0.3049292398741644,0.0065781816456689235,TRUE
Clay-colored Sparrow,0.399192981,0.026524177,125,2,5610,105,138,CCSP,99.99000279794245,1.4047723574096835,7,TRUE,0.32297124186126464,0.005444669798945978,TRUE
Cliff Swallow,0.602018152,0.097550427,200,1,6120,140,220,CLSW,72.82567345555402,0.3481645649794416,9,TRUE,0.40960864935932856,0.005216635261066027,TRUE
Common Black Hawk,0.393264523,0.22105359,300,1.75,3450,220,330,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Common Grackle,0.408425194,0.055505963,200,1.25,5110,140,220,COGR,92.49428887001463,0.2339259321393996,7,TRUE,0.15109920497237903,0.0026893623781858167,TRUE
Common Ground-Dove,0.505966382,0.012083732,125,1.5,3200,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Common Nighthawk,2.15054635,0.015134556,300,2,4200,220,330,CONI,135.57334123246974,4.791227626313713,8,TRUE,0.3344049050579359,0.011947977072637006,TRUE
Common Poorwill,3.361205639,0.001459633,300,2,4180,220,330,COPO,220.3640501353962,17.934763187781243,6,TRUE,0.05643257843421187,0.03632626887213407,TRUE
Common Raven,0.322897689,0.015933012,400,1,4860,320,440,CORA,172.41208120641068,1.9107024007599875,9,TRUE,0.24908917236433334,0.004753819687130262,TRUE
Common Redpoll,0.195174643,0.022312919,125,2,5280,105,138,CORE,89.25700959002798,4.455225147912174,1,TRUE,5.927159462606552e-9,2.3852363177752077e-9,TRUE
Common Yellowthroat,0.105097389,0.010027601,125,2,6810,105,138,COYE,86.6530588997286,0.36472889160735633,9,TRUE,0.295806392826984,0.003116923497703983,TRUE
Connecticut Warbler,0.251795457,0.006130415,125,2,6780,105,138,CONW,89.62868309031,5.559402772541176,8,TRUE,0.3990210563199792,0.016491803468650867,TRUE
Cooper's Hawk,0.266253374,0.002707433,125,2,3330,105,138,COHA,78.32919749533673,4.4792396810018715,3,TRUE,0.08962095164324302,NA,TRUE
Cordilleran Flycatcher,0.286041028,0.009418091,125,2,4640,105,138,COFL,68.38562162610899,0.6943844871406384,6,TRUE,0.42756685252975407,0.014443637529658993,TRUE
Costa's Hummingbird,0.282947489,0.030666539,50,1.25,4300,26,55,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Couch's Kingbird,0.287611169,0.196137195,200,2,4461,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Crested Caracara,0.263500335,0.064231078,300,1,3620,220,330,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Crissal Thrasher,0.151208587,0.03780064,200,2,7120,140,220,CRTH,121.10095975398237,5.985424228770725,1,TRUE,0.33374090971078324,0.04381472019774224,TRUE
Curve-billed Thrasher,0.288256196,0.01118764,200,2,7070,140,220,CBTH,128.78632893431282,16.705207078749737,2,TRUE,0.35028157058499976,0.024316148430934548,TRUE
Dark-eyed Junco,0.541617969,0.066552841,125,2,5670,105,138,DEJU,53.62807088081403,0.24028218678564173,9,TRUE,0.26943283426898135,0.0031826715682796713,TRUE
Dickcissel,0.149758908,0.022316003,200,1.75,6040,140,220,DICK,78.63794392686368,1.1725493815184507,7,TRUE,0.5216364789961295,0.009328732246130178,TRUE
Downy Woodpecker,0.297784285,0.00653134,125,2,3940,105,138,DOWO,63.51032257688697,0.5712416841722003,3,TRUE,0.12602835550623626,0.0029178794148477794,TRUE
Dusky Flycatcher,0.151740992,0.009723034,125,2,4690,105,138,DUFL,63.11545765565104,0.5504971440820725,7,TRUE,0.47794001155117394,0.0071649144526412245,TRUE
Dusky Grouse,0.516304491,0.161395519,200,2,2970,140,220,DUGR,126.71853170550087,18.65732828471816,1,TRUE,0.27900841387237674,0.027719032559397117,TRUE
Eastern Bluebird,0.161933803,0.010916627,125,1.5,7660,105,138,EABL,71.41353251287723,0.8643539629158568,4,TRUE,0.13955926515488817,0.006458175565207697,TRUE
Eastern Kingbird,0.144573269,0.008622775,125,1.75,4440,105,138,EAKI,82.04656181359773,0.6249961716182355,9,TRUE,0.18367050200504695,0.007125340482339315,TRUE
Eastern Meadowlark,0.245182991,0.017067785,200,1.75,5010,140,220,EAME,116.48840123750125,1.0433460910530812,7,TRUE,0.3578786769933525,0.009815951041683146,TRUE
Eastern Phoebe,0.898152488,0.011850315,125,2,4560,105,138,EAPH,88.72765773234225,1.067628113600037,4,TRUE,0.17547690284414685,0.008354598030083177,TRUE
Eastern Screech-Owl,2.114649232,0.001820302,125,2,3730,105,138,EASO,85.48284126138765,6.090012892363774,1,TRUE,0.17857053854851504,0.03612714000212122,TRUE
Eastern Towhee,0.302646684,0.016049386,125,2,5870,105,138,EATO,61.01826298617674,0.33147698580445706,8,TRUE,0.27882735741128073,0.003663623464178589,TRUE
Eastern Whip-poor-will,3.32522679,0.00433927,300,2,4171,220,330,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Eastern Wood-Pewee,0.110277554,0.008288144,200,2,4610,140,220,EAWP,88.16537416611912,0.6826373694008936,7,TRUE,0.2889516257242841,0.0032888683795209706,TRUE
Elegant Trogon,0.336241881,0.212251379,200,1.5,3890,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Elf Owl,2.813439651,0.002713909,125,2,3810,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Eurasian Collared-Dove,0.353765248,0.013942027,200,1.75,22860,140,220,EUCD,113.49167110424577,3.3792022846094483,4,TRUE,0.224329389452572,0.010763490559211303,TRUE
Eurasian Tree Sparrow,0.237386145,0.043432442,125,1.75,6883,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
European Starling,0.455644428,0.068393305,200,1,4930,140,220,EUST,104.68824602972244,0.22366638540573547,9,TRUE,0.1629520200482669,0.0054349028265272825,TRUE
Evening Grosbeak,0.252268742,0.012436775,125,1.75,5140,105,138,EVGR,85.89173859047442,1.5095829973227097,7,TRUE,0.1626676576749807,0.008271853645686889,TRUE
Ferruginous Hawk,0.136893402,0.004679038,300,1.25,3480,220,330,FEHA,175.87016118884142,13.298546251403934,1,TRUE,0.32060868523445196,0.0373283392459145,TRUE
Field Sparrow,0.080762136,0.009480465,200,2,5630,140,220,FISP,106.55666631215217,1.5477850014051455,7,TRUE,0.3299491254825781,0.006073589308100702,TRUE
Fish Crow,0.487620817,0.015744456,400,1.25,4900,320,440,FICR,97.47334455582178,3.7859532862665333,6,TRUE,0.19986882160288785,0.018958632500278988,TRUE
Flammulated Owl,1.485902877,0.00967305,125,2,3740,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Florida Scrub-Jay,0.162911473,0.013297024,200,1.5,4790,140,220,FLSJ,41.76273815543553,2.434057945970011,1,TRUE,0.19159234701168137,0.02711458868808994,TRUE
Fox Sparrow,0.088786254,0.011202226,200,2,5850,140,220,FOSP,73.87371639784762,1.1253858779657264,7,TRUE,0.2685274023410511,0.008550171495045222,TRUE
Gambel's Quail,0.617677484,0.028464202,200,1.75,2950,140,220,GAQU,165.9852920849725,12.199569006271815,7,TRUE,0.5136377347056794,0.023457874065834994,TRUE
Gila Woodpecker,0.327182639,0.046172265,200,1,4110,140,220,GIWO,127.03633982365743,5.93434488764548,1,TRUE,0.31156488413739647,0.03860537739233083,TRUE
Gilded Flicker,0.262542044,0.045968827,200,1.25,4140,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Golden Eagle,0.42719715,0.001560231,400,1.75,3490,320,440,GOEA,262.96354570215743,20.25104765894224,5,TRUE,0.3010642712673517,0.07705822016244757,TRUE
Golden-cheeked Warbler,0.152835663,0.065246383,125,2,6660,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Golden-crowned Kinglet,0.19966966,0.011538985,50,2,7480,26,55,GCKI,39.41356502827037,0.12429465407903706,8,TRUE,0.24895163095782413,0.005250531144721737,TRUE
Golden-crowned Sparrow,0.238439032,0.019158995,200,2,5570,140,220,GCSP,74.68464085846418,4.798927783409667,4,TRUE,0.2557932310494626,0.01994255229756195,TRUE
Golden-fronted Woodpecker,0.327182639,0.046172265,200,1,4100,140,220,GFWO,142.09043341576407,5.305428784739462,3,TRUE,4.0610021482835314e-4,3.6670484840204163e-4,TRUE
